Train_No,Train_Name,Train_Type,SEQ,Station_Code,Station_Name,Arrival_time,Departure_time,Distance,Runs_On
12877,Duronto Exp,SUPERFAST,1,BRC,Vadodara Jn,--,22:27:00,0,1111111
12877,Duronto Exp,SUPERFAST,2,MKPR,Makarpura,22:32:00,22:32:00,6,1111111
12877,Duronto Exp,SUPERFAST,3,VRA,Varnama,22:36:00,22:36:00,13,1111111
12877,Duronto Exp,SUPERFAST,4,ITL,Itola,22:39:00,22:39:00,20,1111111
12877,Duronto Exp,SUPERFAST,5,MYG,Miyagam Karjan,22:46:00,22:46:00,33,1111111
12877,Duronto Exp,SUPERFAST,6,PLJ,Palej,22:52:00,22:52:00,46,1111111
12877,Duronto Exp,SUPERFAST,7,BH,Bharuch Jn,23:05:00,23:05:00,70,1111111
12877,Duronto Exp,SUPERFAST,8,ANK,Ankleshwar Jn,23:10:00,23:10:00,80,1111111
12877,Duronto Exp,SUPERFAST,9,KSB,Kosamba Jn,23:17:00,23:17:00,95,1111111
12877,Duronto Exp,SUPERFAST,10,KIM,Kim,23:23:00,23:25:00,104,1111111
12877,Duronto Exp,SUPERFAST,11,SYN,Sayan,23:33:00,23:33:00,116,1111111
12877,Duronto Exp,SUPERFAST,12,UTN,Utran,23:38:00,23:40:00,124,1111111
12877,Duronto Exp,SUPERFAST,13,ST,Surat,23:46:00,--,129,1111111
12609,Garib Rath Exp,SUPERFAST,1,ST,Surat,--,00:27:00,0,1111111
12609,Garib Rath Exp,SUPERFAST,2,UTN,Utran,00:32:00,00:32:00,5,1111111
12609,Garib Rath Exp,SUPERFAST,3,SYN,Sayan,00:36:00,00:36:00,13,1111111
12609,Garib Rath Exp,SUPERFAST,4,KIM,Kim,00:42:00,00:42:00,25,1111111
12609,Garib Rath Exp,SUPERFAST,5,KSB,Kosamba Jn,00:46:00,00:46:00,34,1111111
12609,Garib Rath Exp,SUPERFAST,6,ANK,Ankleshwar Jn,00:55:00,00:57:00,49,1111111
12609,Garib Rath Exp,SUPERFAST,7,BH,Bharuch Jn,01:05:00,01:08:00,59,1111111
12609,Garib Rath Exp,SUPERFAST,8,PLJ,Palej,01:23:00,01:23:00,83,1111111
12609,Garib Rath Exp,SUPERFAST,9,MYG,Miyagam Karjan,01:30:00,01:32:00,96,1111111
12609,Garib Rath Exp,SUPERFAST,10,ITL,Itola,01:41:00,01:41:00,109,1111111
12609,Garib Rath Exp,SUPERFAST,11,VRA,Varnama,01:45:00,01:45:00,116,1111111
12609,Garib Rath Exp,SUPERFAST,12,MKPR,Makarpura,01:49:00,01:51:00,123,1111111
12609,Garib Rath Exp,SUPERFAST,13,BRC,Vadodara Jn,01:58:00,--,129,1111111
12451,Duronto Exp,SUPERFAST,1,BRC,Vadodara Jn,--,05:15:00,0,1111111
12451,Duronto Exp,SUPERFAST,2,MKPR,Makarpura,05:20:00,05:20:00,6,1111111
12451,Duronto Exp,SUPERFAST,3,VRA,Varnama,05:24:00,05:24:00,13,1111111
12451,Duronto Exp,SUPERFAST,4,ITL,Itola,05:27:00,05:27:00,20,1111111
12451,Duronto Exp,SUPERFAST,5,MYG,Miyagam Karjan,05:35:00,05:37:00,33,1111111
12451,Duronto Exp,SUPERFAST,6,PLJ,Palej,05:47:00,05:49:00,46,1111111
12451,Duronto Exp,SUPERFAST,7,BH,Bharuch Jn,06:04:00,06:07:00,70,1111111
12451,Duronto Exp,SUPERFAST,8,ANK,Ankleshwar Jn,06:14:00,06:14:00,80,1111111
12451,Duronto Exp,SUPERFAST,9,KSB,Kosamba Jn,06:22:00,06:22:00,95,1111111
12451,Duronto Exp,SUPERFAST,10,KIM,Kim,06:26:00,06:26:00,104,1111111
12451,Duronto Exp,SUPERFAST,11,SYN,Sayan,06:33:00,06:33:00,116,1111111
12451,Duronto Exp,SUPERFAST,12,UTN,Utran,06:38:00,06:40:00,124,1111111
12451,Duronto Exp,SUPERFAST,13,ST,Surat,06:46:00,--,129,1111111
12776,Shatabdi Exp,SUPERFAST,1,ST,Surat,--,05:15:00,0,1111111
12776,Shatabdi Exp,SUPERFAST,2,UTN,Utran,05:20:00,05:20:00,5,1111111
12776,Shatabdi Exp,SUPERFAST,3,SYN,Sayan,05:24:00,05:24:00,13,1111111
12776,Shatabdi Exp,SUPERFAST,4,KIM,Kim,05:31:00,05:33:00,25,1111111
12776,Shatabdi Exp,SUPERFAST,5,KSB,Kosamba Jn,05:39:00,05:39:00,34,1111111
12776,Shatabdi Exp,SUPERFAST,6,ANK,Ankleshwar Jn,05:48:00,05:50:00,49,1111111
12776,Shatabdi Exp,SUPERFAST,7,BH,Bharuch Jn,05:57:00,05:57:00,59,1111111
12776,Shatabdi Exp,SUPERFAST,8,PLJ,Palej,06:10:00,06:10:00,83,1111111
12776,Shatabdi Exp,SUPERFAST,9,MYG,Miyagam Karjan,06:16:00,06:16:00,96,1111111
12776,Shatabdi Exp,SUPERFAST,10,ITL,Itola,06:23:00,06:23:00,109,1111111
12776,Shatabdi Exp,SUPERFAST,11,VRA,Varnama,06:28:00,06:30:00,116,1111111
12776,Shatabdi Exp,SUPERFAST,12,MKPR,Makarpura,06:35:00,06:35:00,123,1111111
12776,Shatabdi Exp,SUPERFAST,13,BRC,Vadodara Jn,06:39:00,--,129,1111111
12384,Rajdhani Exp,SUPERFAST,1,BRC,Vadodara Jn,--,21:33:00,0,1111111
12384,Rajdhani Exp,SUPERFAST,2,MKPR,Makarpura,21:38:00,21:38:00,6,1111111
12384,Rajdhani Exp,SUPERFAST,3,VRA,Varnama,21:42:00,21:42:00,13,1111111
12384,Rajdhani Exp,SUPERFAST,4,ITL,Itola,21:46:00,21:48:00,20,1111111
12384,Rajdhani Exp,SUPERFAST,5,MYG,Miyagam Karjan,21:57:00,21:57:00,33,1111111
12384,Rajdhani Exp,SUPERFAST,6,PLJ,Palej,22:04:00,22:04:00,46,1111111
12384,Rajdhani Exp,SUPERFAST,7,BH,Bharuch Jn,22:17:00,22:20:00,70,1111111
12384,Rajdhani Exp,SUPERFAST,8,ANK,Ankleshwar Jn,22:28:00,22:30:00,80,1111111
12384,Rajdhani Exp,SUPERFAST,9,KSB,Kosamba Jn,22:40:00,22:40:00,95,1111111
12384,Rajdhani Exp,SUPERFAST,10,KIM,Kim,22:44:00,22:44:00,104,1111111
12384,Rajdhani Exp,SUPERFAST,11,SYN,Sayan,22:51:00,22:51:00,116,1111111
